"S5","X.G4.3.6.11.","X.G4.3.6.10.","X.G4.3.6.6.","X.G4.1.5.3.","X.G4.3.8.12.","pssm342","X.G1.1.1.3.","X.G4.3.8.9.","X.G4.2.5.1.","X.G1.1.1.13.","pssm348","LC5.3","X.G4.1.5.1.","X.G4.3.7.9.","X.G4.3.3.6.","X.G1.1.1.18.","X.G4.3.8.10.","X.G4.3.7.12.","LC1.3","X.G4.3.6.9.","X.G4.3.8.7.","X.G1.1.1.16.","X.G4.3.7.10.","X.G4.3.1.10.","X.G4.3.7.11.","X.G4.3.1.7.","X.G4.3.7.8.","X.G1.1.1.10.","X.G4.3.7.15.","Output"
0.04519774,77.966102,70.056497,23.728814,9.039548,76.271186,0.1016,2.824859,53.107345,18.181818,3.954802,0.3392,0.1725,11.299435,50.847458,27.118644,8.474576,72.316384,74.576271,0.078772727,51.412429,43.502825,7.344633,68.926554,80.79096,80.79096,51.412429,51.412429,6.779661,96.610169,1
0.044303797,76.582278,73.417722,24.683544,10.759494,74.050633,0.1045,4.43038,50,17.834395,5.063291,0.3098,0.264736842,11.392405,58.227848,25.316456,6.962025,68.987342,74.050633,0.313,43.037975,43.037975,7.594937,71.518987,74.683544,74.683544,46.202532,46.202532,8.227848,100,1
0.038626609,80.686695,69.957082,27.038627,7.725322,78.540773,0.1255,3.004292,54.506438,19.396552,3.433476,0.3449,0.304724138,11.587983,48.497854,26.609442,9.44206,72.103004,73.390558,0.283551724,51.502146,41.201717,10.300429,73.819742,75.965665,75.965665,51.93133,51.93133,7.725322,97.424893,1
0.04109589,76.255708,75.799087,19.634703,8.219178,73.059361,0.1504,2.739726,48.858447,17.889908,4.109589,0.3442,0.182037037,11.415525,51.598174,26.484018,6.849315,72.60274,79.908676,0.156925926,43.378995,49.315068,10.958904,69.863014,75.342466,75.342466,50.684932,50.684932,9.589041,97.260274,1
0.047619048,77.777778,79.365079,14.285714,7.936508,73.015873,0.1234,2.645503,49.73545,15.425532,3.703704,0.3316,0.383478261,10.05291,48.148148,29.62963,7.407407,77.248677,69.84127,0.404304348,38.624339,51.851852,8.994709,75.132275,71.957672,71.957672,48.677249,48.677249,10.05291,100,1
0.050955414,81.528662,70.063694,15.286624,8.917197,77.707006,0.0968,1.910828,49.044586,14.74359,4.458599,0.3322,0.181578947,8.917197,57.961783,24.840764,5.732484,70.063694,75.796178,0.469421053,45.22293,43.949045,8.917197,67.515924,78.343949,78.343949,51.592357,51.592357,10.191083,96.178344,1
0.042328042,78.306878,69.312169,20.634921,15.873016,73.015873,0.1078,6.878307,51.322751,19.148936,3.703704,0.3502,0.208652174,13.227513,50.793651,26.455026,7.407407,77.777778,74.074074,0.386869565,49.73545,54.497354,5.820106,69.312169,76.190476,76.190476,47.089947,47.089947,5.820106,97.354497,1
0.048387097,76.88172,71.505376,19.892473,12.903226,73.655914,0.1133,5.913978,48.924731,17.837838,5.376344,0.3654,0.292043478,13.978495,56.989247,27.419355,10.215054,76.344086,78.494624,0.402652174,47.849462,56.451613,4.301075,69.354839,66.666667,66.666667,40.860215,40.860215,4.301075,100,1
0.042328042,76.719577,76.190476,20.634921,14.814815,73.015873,0.1147,6.349206,48.677249,15.957447,3.703704,0.3469,0.017956522,11.640212,53.439153,24.338624,7.407407,65.608466,82.539683,0.403608696,41.798942,47.619048,5.820106,68.783069,77.248677,77.248677,51.322751,51.322751,8.465608,97.883598,1
0.038251366,78.142077,68.852459,22.95082,16.393443,74.31694,0.1167,8.196721,54.644809,15.384615,5.464481,0.3424,0.157909091,8.743169,57.377049,18.579235,7.103825,72.131148,84.699454,0.227545455,48.63388,45.901639,4.371585,69.398907,72.131148,72.131148,44.808743,44.808743,7.650273,100,1
