"S5","X.G4.3.6.5.","X.G4.1.7.3.","S4","X.G4.2.4.1.","X.G4.3.6.6.","X.G1.1.1.5.","X.G4.2.1.2.","pssm257","X.G4.3.1.5.","X.G1.1.1.13.","X.G4.3.2.14.","LC5.3","X.G4.1.5.1.","X.G4.3.2.12.","X.G4.3.4.12.","X.G4.3.6.11.","X.G4.2.7.3.","X.G4.3.4.11.","LC3.3","X.G4.3.1.6.","LC4.3","X.G4.2.1.1.","X.G4.3.5.10.","X.G4.2.8.2.","X.G4.3.5.1.","X.G4.2.3.2.","X.G4.2.8.3.","LC8.3","X.G4.3.7.9.","Output"
0.075342466,37.671233,26.712329,0.102739726,27.586207,13.013699,4.109589,18.62069,0.0519,32.191781,2.739726,99.315068,0.399944444,7.534247,84.931507,84.931507,74.657534,23.448276,67.123288,0.426611111,20.547945,0.618388889,26.896552,87.671233,31.724138,12.328767,24.827586,14.482759,0.4602,43.835616,1
0.068493151,32.876712,29.452055,0.102739726,27.586207,13.013699,2.739726,20,0.0492,32.191781,3.424658,99.315068,0.370055556,6.849315,84.931507,84.931507,76.712329,25.517241,67.808219,0.435388889,15.068493,0.575444444,26.896552,71.917808,30.344828,12.328767,23.448276,14.482759,0.4577,43.835616,1
0.068493151,42.465753,26.027397,0.102739726,26.206897,18.493151,4.109589,19.310345,0.0513,32.876712,4.109589,99.315068,0.379944444,8.219178,76.712329,76.712329,76.712329,17.931034,67.123288,0.4205,15.068493,0.569611111,22.068966,87.671233,31.034483,1.369863,25.517241,16.551724,0.4506,47.945205,1
0.075342466,42.465753,26.712329,0.102739726,30.344828,15.753425,3.424658,17.241379,0.0525,32.876712,3.424658,99.315068,0.389277778,8.219178,84.931507,84.931507,74.657534,22.068966,67.123288,0.429777778,14.383562,0.612333333,26.896552,82.876712,34.482759,12.328767,23.448276,11.724138,0.447,45.205479,1
0.082758621,43.448276,23.448276,0.103448276,26.388889,16.551724,3.448276,24.305556,0.0454,33.103448,2.068966,99.310345,0.376666667,10.344828,76.551724,76.551724,75.172414,15.972222,67.586207,0.521,22.758621,0.540555556,20.833333,71.724138,32.638889,2.758621,29.861111,18.055556,0.465736842,47.586207,1
0.082758621,43.448276,26.206897,0.103448276,27.083333,16.551724,4.137931,21.527778,0.0524,28.965517,2.068966,99.310345,0.398333333,10.344828,76.551724,76.551724,76.551724,18.055556,67.586207,0.518555556,24.827586,0.628111111,22.222222,71.724138,27.083333,2.758621,24.305556,19.444444,0.481789474,47.586207,1
0.075862069,37.241379,22.758621,0.103448276,32.638889,16.551724,3.448276,21.527778,0.0521,33.103448,2.068966,99.310345,0.355888889,9.655172,86.206897,86.206897,75.172414,17.361111,67.586207,0.5265,14.482759,0.526611111,23.611111,87.586207,31.944444,1.37931,23.611111,14.583333,0.492315789,44.827586,1
0.067114094,24.832215,22.147651,0.100671141,29.72973,27.516779,6.711409,14.864865,0.0575,29.530201,5.369128,100,0.427722222,9.395973,84.563758,84.563758,73.825503,18.243243,68.456376,0.3985,13.422819,0.559111111,27.702703,84.563758,29.72973,11.409396,18.243243,12.837838,0.396565217,49.66443,1
0.075862069,37.931034,21.37931,0.103448276,25,22.758621,4.827586,16.666667,0.0424,27.586207,3.448276,95.862069,0.457777778,11.724138,73.793103,73.793103,80,16.666667,75.172414,0.476722222,26.206897,0.543222222,26.388889,73.793103,33.333333,2.758621,22.222222,10.416667,0.478105263,45.517241,1
0.054347826,27.173913,28.804348,0.076086957,33.333333,22.282609,1.630435,14.754098,0.0822,27.173913,8.152174,99.456522,0.278,10.326087,80.978261,80.978261,80.434783,15.846995,72.826087,0.272913043,17.934783,0.40326087,24.590164,84.782609,31.147541,5.978261,16.939891,18.579235,0.294652174,38.586957,1
